country,sex,age,upbring,ses15,sex.orient,names.bin,names.m,names.f,edu.r,edu.m,edu.f,first.born,birth.order,no.children,rel.m,rel.f,rej.m1,rej.m2,rej.m3,rej.m4,rej.m5,rej.m6,rej.m7,rej.f1,rej.f2,rej.f3,rej.f4,rej.f5,rej.f6,rej.f7,overp.m1,overp.m2,overp.m3,overp.m4,overp.m5,overp.m6,overp.m7,overp.m8,overp.m9,overp.f1,overp.f2,overp.f3,overp.f4,overp.f5,overp.f6,overp.f7,overp.f8,overp.f9,emo.m1,emo.m2,emo.m3,emo.m4,emo.m5,emo.m6,emo.f1,emo.f2,emo.f3,emo.f4,emo.f5,emo.f6,money.m,money.f,time.m,time.f
1,2,25,1,3,3,0,0,0,4,3,2,0,2,2,6,5,1,2,1,1,2,1,1,2,2,3,1,1,2,3,4,3,1,3,2,2,2,2,1,4,3,1,3,2,2,2,2,1,3,3,2,3,3,3,2,3,1,2,1,4,6,6,4,4
1,2,27,1,3,2,0,0,0,4,NA,2,0,2,2,7,6,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,4,2,2,4,2,4,2,1,2,4,2,2,2,2,2,2,1,4,3,4,4,4,4,4,3,2,2,3,2,1,1,3,4
1,2,28,1,5,1,0,0,0,4,3,4,1,1,2,3,6,3,2,3,1,2,3,1,1,1,1,1,1,1,1,1,1,2,4,2,1,1,2,1,2,2,2,2,2,3,2,1,2,2,4,3,2,3,3,4,3,4,4,4,4,2,2,2,3
1,2,25,1,2,1,0,0,0,4,3,4,0,2,3,7,5,2,1,2,NA,NA,NA,NA,3,3,2,NA,NA,NA,NA,1,2,2,2,4,NA,NA,NA,NA,1,2,2,2,2,NA,NA,NA,NA,4,4,4,NA,NA,NA,2,4,3,NA,NA,NA,NA,NA,NA,NA
1,1,37,1,2,1,1,0,1,4,3,2,0,3,4,6,4,3,1,1,1,1,1,1,1,1,3,1,1,1,1,2,4,1,1,1,2,2,2,3,2,4,1,1,1,2,2,2,3,2,3,1,2,3,3,1,3,1,1,1,3,2,2,3,4
1,1,25,0,2,7,0,0,0,1,3,2,1,1,1,7,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,2,2,4,2,1,2,2,1,1,1,1,1,4,1,1,1,3,3,3,3,3,3,1,1,1,1,1,1,1,4,1,5
1,1,37,1,3,3,0,0,0,4,2,3,1,1,3,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,3,4,3,3,1,1,1,1,1,6,6,3,5
1,1,28,1,3,1,0,0,0,4,3,3,0,3,3,5,4,2,1,1,1,2,1,1,1,1,2,1,3,1,1,2,3,1,2,2,2,1,2,3,1,3,1,1,2,2,1,2,2,2,3,4,3,2,3,2,2,4,2,2,3,3,3,4,4
1,1,28,1,4,2,0,0,0,4,3,2,0,2,2,6,6,3,1,1,1,1,2,1,1,1,3,1,2,1,1,3,4,2,2,2,1,2,1,2,3,2,1,1,1,2,2,1,1,3,3,3,3,2,3,3,3,3,2,2,3,2,2,2,2
1,1,35,1,3,7,1,0,1,4,4,3,1,1,2,6,3,2,2,2,2,2,2,2,3,3,3,3,4,2,3,3,4,4,2,4,4,3,3,2,1,2,3,2,2,4,2,3,2,2,2,2,3,3,2,1,2,1,1,1,1,2,2,3,5
1,1,26,1,3,6,0,0,0,4,3,4,1,1,1,5,2,3,3,4,4,4,4,4,1,3,2,2,4,3,3,3,4,4,3,4,4,4,3,4,1,1,2,2,2,3,2,4,4,2,1,1,2,2,2,1,1,1,1,1,3,4,4,4,5
1,2,29,1,4,3,0,0,0,3,4,2,1,1,3,7,5,2,1,2,1,2,1,1,2,1,3,1,2,1,1,2,3,2,2,2,2,2,1,1,2,3,2,2,1,2,2,1,1,3,3,3,3,4,3,1,2,1,1,1,2,6,6,2,4
1,2,26,1,2,2,0,0,0,4,4,4,0,2,2,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,2,2,4,2,2,2,3,3,2,2,2,4,2,2,2,3,4,4,4,4,4,3,4,4,4,4,4,2,2,2,2
1,2,32,1,4,5,0,0,0,4,4,4,1,1,2,3,6,3,2,2,2,4,2,3,1,1,2,1,2,1,2,3,3,4,4,4,4,4,4,4,2,2,3,2,2,4,3,3,3,2,2,2,2,2,2,2,3,3,3,3,2,3,1,4,2
1,2,32,1,2,4,0,0,0,4,3,2,0,2,2,6,5,2,2,1,2,2,1,1,2,1,3,2,1,2,1,1,3,1,2,1,3,1,2,1,1,2,1,1,1,2,1,1,1,3,4,3,4,4,4,2,2,2,3,2,4,1,1,3,4
1,2,30,1,3,1,0,0,0,4,4,4,0,3,3,6,6,2,1,1,1,1,1,1,1,1,2,1,1,1,1,3,3,2,3,1,2,2,2,2,2,2,2,2,1,1,2,2,1,3,4,4,4,3,3,2,3,4,3,3,3,6,6,3,3
1,2,32,1,2,1,0,0,0,4,4,3,1,1,2,6,6,2,1,2,1,1,1,1,2,1,2,1,3,1,1,2,4,2,3,3,4,2,4,2,2,3,2,2,2,4,2,4,1,3,4,2,2,2,2,2,4,2,2,2,2,2,2,1,2
1,2,29,1,2,2,0,0,0,4,3,3,1,1,2,6,6,2,2,1,1,1,1,2,1,3,2,1,1,1,2,2,4,2,2,1,2,2,2,2,3,4,2,2,1,2,2,2,3,2,1,3,2,2,2,2,1,3,2,4,2,2,2,3,3
1,1,34,1,2,1,0,0,0,4,4,4,1,1,2,6,6,2,1,2,1,1,1,2,2,2,2,1,1,1,2,2,4,2,2,2,3,2,4,2,3,3,2,3,1,3,2,4,1,3,3,2,3,3,3,2,3,2,2,2,3,6,6,3,3
1,2,30,1,3,1,0,0,0,4,2,3,0,2,2,3,4,3,3,4,4,4,4,3,2,3,3,2,4,1,2,1,2,1,3,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,6,6,5,5
1,2,49,1,4,2,0,0,0,4,2,2,1,1,2,7,2,2,1,2,1,1,2,1,2,1,3,2,3,2,1,1,1,1,1,1,2,1,1,2,1,1,1,2,1,2,1,1,1,2,1,2,3,3,3,1,1,1,2,1,2,4,4,4,4
1,1,34,1,4,1,1,0,1,4,3,2,0,2,2,7,7,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,2,3,2,4,3,1,3,2,2,2,3,2,4,2,2,4,4,2,4,4,3,4,4,3,4,4,2,2,2,3
1,2,34,1,2,4,0,0,0,4,3,1,0,3,3,6,2,2,1,1,2,2,1,1,1,3,3,1,1,1,1,1,2,1,1,3,2,2,2,3,1,2,1,1,1,2,1,2,1,2,2,3,3,3,2,2,2,3,2,2,2,6,6,4,4
1,2,59,1,3,3,0,0,0,2,2,3,1,1,1,5,1,3,1,1,2,1,1,1,1,2,4,3,1,1,1,1,4,4,1,4,4,4,4,3,1,4,4,1,4,4,4,4,1,2,1,2,2,2,2,1,1,2,1,1,1,3,4,4,5
1,2,31,1,3,1,0,0,0,4,3,1,0,2,2,7,7,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,4,3,4,3,3,3,2,3,1,3,3,4,2,3,3,2,2,4,4,4,4,4,4,4,4,4,4,4,4,6,6,2,2
1,2,36,1,3,2,0,0,0,4,4,4,1,1,2,6,6,1,1,1,1,1,2,1,1,2,1,1,1,2,1,2,3,2,2,2,2,2,4,1,1,2,2,2,1,1,1,3,1,3,4,3,4,4,4,3,3,3,4,4,4,1,1,1,1
1,1,27,1,3,7,0,0,0,2,2,2,1,1,2,7,4,2,1,1,1,1,1,1,1,2,3,1,1,1,2,1,4,1,2,2,1,1,3,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,5
1,1,39,1,3,7,1,0,1,3,2,3,1,1,2,6,6,2,1,2,2,1,1,1,3,2,3,2,1,1,2,1,2,2,2,2,3,2,2,2,1,2,2,3,2,3,2,3,2,2,3,2,2,2,2,2,3,2,2,2,3,6,6,4,5
