sex,age,country,edu.r,edu.m,edu.f,ses15,sex.orient,sex.orient.bin,names.bin,names.m,names.f,first.born,birth.order,no.children,rel.m,rel.f,rejection.m,rejection.f,overprotection.m,overprotection.f,emotional.m,emotional.f,money.m,money.f,time.m,time.f
0,26,1,4,4,4,3,3,0,0,0,0,1,1,2,6,5,13,17,27,29,24,24,4,5,4,2
0,25,1,4,3,2,3,3,0,0,0,0,0,2,2,6,5,9,14,20,20,17,13,4,4,2,2
0,27,1,4,2,2,3,2,0,0,0,0,0,2,2,7,6,8,8,22,19,23,16,5,5,3,2
0,28,1,4,3,4,1,1,0,0,0,0,1,1,2,3,6,15,7,15,18,17,23,4,4,4,3
0,25,1,4,3,4,4,1,0,0,0,0,0,2,3,7,5,9,12,19,17,24,21,4,4,4,3
1,37,1,4,3,2,4,1,0,1,0,1,0,3,4,6,4,9,9,18,18,14,10,4,4,3,2
1,37,1,4,2,3,3,3,0,0,0,0,1,1,3,7,7,7,7,9,9,17,8,4,2,3,1
1,28,1,4,3,3,3,1,0,0,0,0,0,3,3,5,4,9,10,18,15,17,15,3,3,2,2
1,28,1,4,3,2,2,2,0,0,0,0,0,2,2,6,6,10,10,19,14,17,16,4,4,4,4
1,39,1,4,4,4,4,1,0,0,0,0,1,1,2,7,7,8,7,15,12,19,19,4,4,5,3
1,35,1,4,4,3,3,7,1,1,0,1,1,1,2,6,3,14,21,29,21,14,7,4,4,3,1
1,26,1,4,3,4,3,6,1,0,0,0,1,1,1,5,2,26,18,33,21,10,8,2,2,2,1
0,29,1,3,4,2,2,3,0,0,0,0,1,1,3,7,5,10,11,17,16,19,8,4,4,4,2
0,26,1,4,4,4,4,2,0,0,0,0,0,2,2,7,7,7,7,22,22,23,23,4,4,4,4
0,32,1,4,4,4,2,5,1,0,0,0,1,1,2,3,6,18,10,34,24,12,16,3,5,2,4
0,32,1,4,3,2,4,4,1,0,0,0,0,2,2,6,5,11,12,15,11,22,15,5,5,3,2
0,30,1,4,4,4,3,1,0,0,0,0,0,3,3,6,6,8,8,20,15,21,18,4,4,3,3
0,32,1,4,4,3,4,1,0,0,0,0,1,1,2,6,6,9,11,26,22,15,14,4,4,5,4
0,29,1,4,3,3,4,2,0,0,0,0,1,1,2,6,6,10,11,19,21,12,14,4,4,3,3
1,34,1,4,4,4,4,1,0,0,0,0,1,1,2,6,6,10,11,23,22,17,14,4,4,3,3
0,30,1,4,2,3,3,1,0,0,0,0,0,2,2,3,4,25,17,12,11,7,8,2,2,1,1
0,49,1,4,2,2,2,2,0,0,0,0,1,1,2,7,2,10,14,11,11,14,8,2,2,2,2
1,34,1,4,3,2,2,1,0,1,0,1,0,2,2,7,7,8,7,22,21,20,22,4,4,4,3
0,34,1,4,3,1,4,4,1,0,0,0,0,3,3,6,2,10,11,17,12,15,13,3,3,2,2
0,59,1,2,2,3,3,3,0,0,0,0,1,1,1,5,1,10,13,29,27,11,7,3,2,2,1
0,31,1,4,3,1,3,1,0,0,0,0,0,2,2,7,7,8,7,26,23,24,24,4,4,4,4
0,36,1,4,4,4,3,2,0,0,0,0,1,1,2,6,6,8,9,20,14,22,21,5,5,5,5
1,27,1,2,2,2,3,7,1,0,0,0,1,1,2,7,4,8,11,16,9,18,7,5,5,5,1
1,39,1,3,2,3,3,7,1,1,0,1,1,1,2,6,6,10,14,18,20,13,14,4,4,2,1
0,32,1,4,4,3,4,2,0,0,0,0,1,1,1,7,7,9,9,24,24,23,23,4,4,5,5
0,40,1,4,4,4,2,2,0,0,0,0,1,1,2,5,5,11,8,19,9,12,12,4,4,2,1
0,42,1,4,4,1,5,1,0,0,0,0,1,1,2,5,2,12,11,22,13,14,9,4,2,3,1
0,32,1,4,3,3,3,1,0,0,0,0,1,1,2,5,5,13,13,29,29,11,11,3,2,4,2
0,26,1,4,2,2,2,5,1,0,0,0,1,1,2,5,4,13,14,22,21,10,10,3,3,2,2
0,29,1,4,3,3,4,1,0,0,0,0,1,1,1,6,3,9,10,18,10,22,15,5,3,4,1
0,36,1,4,3,2,3,3,0,0,0,0,1,1,2,7,7,9,9,23,17,19,15,4,4,3,2
0,26,1,3,3,3,4,1,0,0,0,0,0,2,2,5,3,15,17,21,21,11,9,3,2,3,2
0,31,1,3,4,4,4,1,0,0,0,0,1,1,2,5,6,10,7,29,27,22,22,5,5,5,3
0,31,1,4,3,3,3,2,0,0,0,0,0,2,2,7,6,13,8,22,12,20,18,4,4,4,3
0,42,1,4,2,2,2,1,0,0,0,0,1,1,3,3,6,18,17,20,21,12,11,3,3,2,2
1,29,1,3,4,3,3,1,0,0,0,0,0,2,3,6,1,8,18,19,14,20,8,4,2,4,1
0,32,1,4,3,3,1,2,0,1,1,0,1,1,2,5,5,15,18,29,30,9,11,4,4,2,1
0,32,1,4,4,4,4,1,0,0,0,0,1,1,2,6,6,8,9,16,21,23,23,3,4,5,4
0,26,1,4,3,4,4,4,1,0,0,0,1,1,2,6,4,9,11,24,18,18,9,3,5,5,1
0,53,1,3,3,3,2,1,0,0,0,0,0,3,4,6,4,10,14,15,24,18,13,2,2,2,1
0,49,1,4,3,4,3,1,0,0,0,0,1,1,2,6,6,11,14,24,22,18,12,3,2,3,2
1,36,1,4,2,2,4,6,1,0,0,0,0,2,2,6,4,9,16,15,20,21,8,3,3,5,3
1,26,1,4,3,1,2,2,0,0,0,0,1,1,2,6,6,16,16,26,25,18,18,4,4,3,3
1,28,1,3,4,4,3,4,1,0,0,0,1,1,3,7,6,13,13,20,19,21,21,4,4,4,4
0,27,1,4,3,3,2,1,0,0,0,0,0,3,3,4,5,14,14,28,10,14,8,4,3,3,1
1,26,1,4,3,2,4,4,1,0,0,0,1,1,2,5,3,16,15,21,14,8,11,4,4,4,2
0,31,1,4,3,3,4,2,0,0,0,0,0,7,7,7,7,9,10,27,18,24,21,4,5,4,3
0,32,1,4,3,1,2,2,0,0,0,0,1,1,1,6,4,16,7,32,16,13,12,4,2,3,1
1,64,1,4,2,1,2,6,1,0,0,0,0,2,3,6,4,10,7,18,12,14,7,2,2,3,1
0,30,1,3,3,3,5,1,0,1,1,0,0,2,5,7,3,8,13,23,22,23,11,5,2,5,1
0,26,1,3,4,4,4,2,0,0,0,0,0,2,4,4,4,13,8,18,9,9,7,2,2,1,1
0,30,1,4,3,2,1,1,0,0,0,0,1,1,2,7,7,9,8,24,19,24,24,4,4,4,4
0,36,1,4,3,4,3,1,0,0,0,0,0,2,3,6,2,8,20,21,25,15,10,3,3,3,3
1,28,1,3,3,1,3,7,1,1,1,0,0,2,2,5,2,22,23,23,23,9,8,2,2,2,1
1,37,1,4,3,4,3,7,1,1,0,1,0,2,2,6,6,10,10,19,17,19,19,4,4,4,3
1,33,1,4,4,4,4,1,0,0,0,0,0,2,2,6,4,10,12,19,16,16,8,5,5,5,2
1,35,1,4,2,2,2,7,1,1,0,0,1,1,2,7,7,7,7,13,11,22,22,5,5,5,4
0,28,1,4,4,3,3,1,0,0,0,0,1,1,2,5,5,16,14,20,21,12,13,4,4,3,3
0,31,1,3,4,4,4,2,0,1,0,1,0,4,4,7,7,8,9,17,19,22,20,4,4,2,1
1,41,1,3,3,3,3,7,1,1,1,0,0,2,2,6,4,7,8,15,10,15,11,4,3,3,2
0,29,1,4,3,3,2,1,0,0,0,0,0,5,5,2,3,11,9,10,12,10,13,2,2,2,2
0,28,1,4,4,4,3,2,0,0,0,0,1,1,1,6,4,16,14,27,20,18,9,5,5,4,2
0,28,1,4,4,4,4,1,0,0,0,0,0,3,4,6,6,15,11,25,17,16,12,4,4,4,2
0,35,1,4,4,4,4,1,0,0,0,0,1,1,4,6,5,12,12,27,23,14,15,5,5,4,4
1,30,1,4,3,1,5,7,1,0,0,0,0,2,2,6,1,10,12,14,9,16,9,3,3,5,5
0,33,1,4,3,3,4,1,0,1,0,1,1,1,3,5,6,12,18,26,25,16,13,4,4,3,3
1,29,1,4,4,4,3,1,0,0,0,0,0,2,2,6,6,8,7,27,13,18,17,4,4,4,4
1,49,1,4,4,4,4,4,1,0,0,0,1,1,2,6,3,15,20,23,23,16,12,4,4,4,3
1,37,1,4,4,4,3,1,0,0,0,0,0,2,2,6,6,8,8,18,18,16,16,4,4,3,3
0,27,1,4,3,4,3,2,0,0,0,0,1,1,5,6,6,12,9,19,18,11,12,4,4,3,3
0,25,1,4,3,4,3,1,0,0,0,0,1,1,2,7,7,8,10,17,16,24,22,4,4,5,3
0,32,1,4,3,2,2,1,0,0,0,0,0,2,2,3,2,25,12,35,15,7,6,3,2,2,1
0,48,1,4,4,4,3,1,0,0,0,0,0,2,2,6,6,8,8,22,22,22,22,4,4,4,4
1,24,1,3,4,4,3,1,0,1,0,1,0,2,2,6,6,8,8,23,23,19,19,4,4,4,2
0,38,1,4,2,1,2,1,0,0,0,0,0,4,4,6,4,8,8,12,10,15,11,4,4,3,1
0,45,1,4,3,2,2,1,0,0,0,0,0,2,2,4,4,18,11,28,10,15,9,3,3,2,1
1,26,1,4,4,2,3,2,0,0,0,0,0,2,2,6,6,10,8,27,18,18,18,5,5,5,5
1,25,1,4,3,3,3,1,0,1,0,0,1,1,2,5,3,15,25,26,26,15,11,4,4,3,4
0,24,1,4,2,3,2,2,0,1,1,0,0,2,4,7,7,8,10,22,18,19,17,4,4,3,3
0,45,1,4,2,2,2,1,0,0,0,0,1,1,2,6,6,12,12,22,22,19,18,4,4,3,3
0,30,1,4,3,3,4,2,0,0,0,0,0,2,2,5,5,10,10,22,23,19,22,5,5,3,5
1,33,1,4,4,2,3,1,0,0,0,0,1,1,3,7,7,7,8,18,19,17,16,4,4,3,3
0,32,1,4,3,4,2,1,0,0,0,0,1,1,4,6,6,10,11,23,13,22,20,4,4,3,3
